protection,deadline_f,budget_frac,target_class,view,n_target,budget_B,j_informed,j_blind,j_oracle,vom,capture_ratio,precision_at_b,recall
all,1.0,0.5,class_2,network,400.0,1600.0,395.0,200.0,400.0,195.0,0.975,0.246875,0.9875
all,1.0,0.05,class_3,network,400.0,160.0,87.0,20.0,160.0,67.0,0.4785714285714286,0.54375,0.2175
all,1.0,0.125,class_3,network,400.0,400.0,210.0,50.0,400.0,160.0,0.45714285714285713,0.525,0.525
all,1.0,0.25,class_3,network,400.0,800.0,393.0,100.0,400.0,293.0,0.9766666666666667,0.49125,0.9825
all,1.0,0.5,class_3,network,400.0,1600.0,399.0,200.0,400.0,199.0,0.995,0.249375,0.9975
all,1.0,0.05,class_4,network,400.0,160.0,88.0,20.0,160.0,68.0,0.4857142857142857,0.55,0.22
all,1.0,0.125,class_4,network,400.0,400.0,200.0,50.0,400.0,150.0,0.42857142857142855,0.5,0.5
all,1.0,0.25,class_4,network,400.0,800.0,301.0,100.0,400.0,201.0,0.67,0.37625,0.7525
all,1.0,0.5,class_4,network,400.0,1600.0,380.0,200.0,400.0,180.0,0.9,0.2375,0.95
all,1.0,0.05,class_5,network,400.0,160.0,74.0,20.0,160.0,54.0,0.38571428571428573,0.4625,0.185
all,1.0,0.125,class_5,network,400.0,400.0,183.0,50.0,400.0,133.0,0.38,0.4575,0.4575
all,1.0,0.25,class_5,network,400.0,800.0,305.0,100.0,400.0,205.0,0.6833333333333333,0.38125,0.7625
all,1.0,0.5,class_5,network,400.0,1600.0,384.0,200.0,400.0,184.0,0.92,0.24,0.96
all,1.0,0.05,class_6,network,400.0,160.0,69.0,20.0,160.0,49.0,0.35,0.43125,0.1725
all,1.0,0.125,class_6,network,400.0,400.0,178.0,50.0,400.0,128.0,0.3657142857142857,0.445,0.445
all,1.0,0.25,class_6,network,400.0,800.0,318.0,100.0,400.0,218.0,0.7266666666666667,0.3975,0.795
all,1.0,0.5,class_6,network,400.0,1600.0,389.0,200.0,400.0,189.0,0.945,0.243125,0.9725
all,1.0,0.05,class_7,network,400.0,160.0,49.0,20.0,160.0,29.0,0.20714285714285716,0.30625,0.1225
all,1.0,0.125,class_7,network,400.0,400.0,106.0,50.0,400.0,56.0,0.16,0.265,0.265
all,1.0,0.25,class_7,network,400.0,800.0,226.0,100.0,400.0,126.0,0.42,0.2825,0.565
all,1.0,0.5,class_7,network,400.0,1600.0,395.0,200.0,400.0,195.0,0.975,0.246875,0.9875
